Image_ID,Image_Number,Aspect_Ratio,Gender,Age,Smile,Pitch_Angle,Roll_Angle,Yaw_Angle,Blurness,Motionblur,Gaussianblur,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Facequality,Beauty,Mouthstatus,Skinstatus,Glass
144179,1000,1.0585106382978724,Female,36,1.361,7.759366,-0.08471977,2.885205,0.338,0.338,0.338,0.22,24.88,2.966,2.521,54.913,0.22,14.28,91.082,82.506,close,health,None
144179,1001,0.9494949494949495,Female,23,0.007,2.0380437,-5.474116,-22.05464,19.337,19.337,19.337,0.0,0.0,0.0,0.123,99.866,0.01,0.001,5.073,73.889,close,acne,None
144179,1002,1.0352112676056338,Female,26,99.98,8.260711,-2.0668635,-11.994788,0.122,0.122,0.122,0.0,0.005,0.0,99.66,0.0,0.0,0.334,69.265,88.45,open,health,None
1007786670,1003,0.9591836734693877,Female,58,99.995,-2.5173013,-1.3440361,-2.1142063,0.361,0.361,0.361,0.0,0.0,0.0,100.0,0.0,0.0,0.0,93.409,42.188,open,health,Normal
1007786670,1004,0.9661538461538461,Female,51,99.89,2.7521992,-3.887623,-1.1153682,0.331,0.331,0.331,0.056,0.032,1.157,98.727,0.009,0.009,0.009,93.95,53.56,open,health,Normal
1007786670,1005,0.9632352941176471,Female,49,99.693,0.911785,-3.4631896,-0.29046318,0.171,0.171,0.171,0.002,0.002,2.199,97.785,0.009,0.002,0.002,94.715,57.723,open,health,Normal
1005425797,1006,0.9745762711864406,Female,30,67.151,0.96046376,-8.864156,9.317263,0.389,0.389,0.389,0.0,0.0,0.0,0.083,99.916,0.0,0.001,83.918,81.674,close,health,None
1004701230,1007,1.0689655172413792,Female,28,100.0,-0.82261264,-1.8040779,18.051722,0.038,0.038,0.038,0.0,0.0,0.0,100.0,0.0,0.0,0.0,34.519,82.252,open,health,None
1004701230,1008,1.0683760683760684,Female,27,99.998,7.718999,8.066229,12.580862,0.037,0.037,0.037,0.0,0.001,0.002,99.919,0.0,0.077,0.0,67.019,71.17,close,health,None
1004701230,1009,1.0114942528735633,Female,22,100.0,1.8969022,15.73755,13.7913065,0.001,0.001,0.001,0.0,0.058,0.0,99.94,0.001,0.0,0.0,65.384,77.903,open,health,None
1004561099,100,1.169811320754717,Male,41,86.094,7.777501,-0.37617475,6.0153093,0.382,0.382,0.382,0.076,0.518,0.076,96.895,1.251,0.435,0.749,87.245,55.881,close,health,Normal
1004701230,1010,1.0242914979757085,Female,27,100.0,2.0476897,8.70663,18.88969,0.032,0.032,0.032,0.006,0.164,0.0,99.827,0.0,0.002,0.0,27.356,72.563,open,health,None
1006205600,1011,0.9619771863117871,Female,28,99.999,3.4367855,-1.1348709,9.297761,0.14,0.14,0.14,0.001,0.001,0.001,99.764,0.007,0.225,0.001,83.001,54.732,close,health,None
1006205600,1012,0.9661016949152542,Female,37,99.632,8.765701,-10.8559265,2.506191,0.797,0.797,0.797,0.055,0.832,30.013,65.323,0.152,3.57,0.055,90.757,64.424,close,health,None
59305095,1013,0.9878048780487805,Female,55,16.523,5.4028873,-2.2936862,-8.627541,0.368,0.368,0.368,0.0,0.0,0.0,0.17,99.828,0.0,0.0,83.495,78.724,close,health,None
59305095,1014,0.9468085106382979,Female,52,99.965,4.7330594,-8.755779,4.131161,0.464,0.464,0.464,0.046,0.41,48.358,41.363,0.727,9.049,0.046,91.108,73.839,open,health,None
1007476118,1017,0.9473684210526315,Female,39,100.0,0.37244508,4.826984,20.150633,0.034,0.034,0.034,0.0,0.0,0.0,99.999,0.0,0.0,0.001,19.067,68.35,open,stain,Normal
1007476118,1019,0.9473684210526315,Female,38,100.0,-0.31444398,5.065811,20.79618,0.038,0.038,0.038,0.0,0.0,0.0,99.998,0.0,0.0,0.001,15.115,68.024,open,stain,Normal
1004512938,101,1.0454545454545454,Male,35,19.295,3.8485363,1.1546451,1.46467,0.322,0.322,0.322,0.082,0.062,0.062,67.565,29.335,2.708,0.186,93.501,63.023,close,health,None
1007476118,1021,0.9571428571428572,Female,26,88.164,5.6743336,11.48974,-13.809126,1.168,1.168,1.168,0.001,0.001,0.001,96.802,3.193,0.002,0.001,61.325,77.384,close,stain,Normal
1007546427,1022,0.9601769911504425,Male,40,2.752,1.6394639,8.1340275,-4.2725163,0.3,0.3,0.3,0.001,0.009,0.001,0.359,99.602,0.001,0.027,91.936,64.515,close,stain,Normal
1007546427,1023,0.9802631578947368,Male,41,2.582,1.4347179,9.497368,-3.447339,0.085,0.085,0.085,0.003,0.013,0.003,6.094,93.791,0.003,0.092,92.763,65.69,close,stain,Normal
1007518311,1024,1.0416666666666667,Female,49,7.89,2.896702,0.82161844,-13.983101,1.029,1.029,1.029,0.019,0.517,0.01,7.435,91.924,0.083,0.01,62.723,62.492,close,health,Normal
1004512938,102,1.0039370078740157,Male,25,0.168,6.847886,6.809239,-16.745556,0.723,0.723,0.723,0.006,0.077,0.0,0.072,99.844,0.0,0.0,39.875,81.83,close,health,None
1001938587,1030,0.9805825242718447,Female,35,100.0,0.5268688,4.944096,-2.200815,0.969,0.969,0.969,0.035,0.005,0.005,99.421,0.498,0.032,0.005,93.593,51.492,open,health,None
271535240,1031,0.968,Female,46,42.741,0.90830666,1.4755175,-5.0195594,2.773,2.773,2.773,0.002,0.001,0.001,0.673,99.139,0.001,0.184,90.511,43.253,close,stain,Normal
271535240,1032,0.8783783783783784,Female,44,98.858,0.93406415,-6.542042,-16.320461,2.541,2.541,2.541,46.959,0.052,0.042,52.174,0.14,0.042,0.591,46.347,78.715,open,stain,Normal
271535240,1033,0.9537037037037037,Female,47,71.929,-2.3948796,4.985062,-2.2900908,8.045,8.045,8.045,1.146,0.044,0.02,73.536,25.214,0.02,0.02,90.857,38.006,close,acne,Normal
271535240,1034,0.8932806324110671,Female,42,99.094,1.8658028,-6.6690445,-15.213276,3.026,3.026,3.026,34.179,0.089,0.089,61.425,3.437,0.128,0.653,53.579,80.336,open,stain,Normal
91382670,1037,0.9459459459459459,Female,37,99.97,3.3370128,-7.7205195,30.445923,0.033,0.033,0.033,0.008,0.004,0.004,99.878,0.008,0.004,0.095,0.006,64.76,other_occlusion,stain,None
91382670,1038,0.9764705882352941,Female,42,0.014,14.085028,-20.115692,17.348166,0.367,0.367,0.367,0.015,0.266,0.015,0.015,35.846,63.829,0.015,26.855,56.806,close,health,None
1005187858,103,0.8904899135446686,Female,55,99.987,6.1328664,-10.193736,-7.7625704,0.383,0.383,0.383,0.0,0.0,0.0,100.0,0.0,0.0,0.0,85.023,58.281,open,health,Normal
91382670,1040,0.9381443298969072,Female,34,99.987,0.9501331,-4.393015,5.034552,0.365,0.365,0.365,0.002,0.004,0.017,99.727,0.235,0.005,0.01,91.306,58.041,open,health,None
91382670,1041,0.9070796460176991,Female,41,94.363,1.6452038,8.5081835,-7.303609,0.358,0.358,0.358,0.134,0.598,0.029,96.526,0.029,1.011,1.673,87.972,53.267,open,health,None
271099700,1042,0.9591836734693877,Female,34,99.992,6.309015,4.6922727,9.310367,0.3,0.3,0.3,0.001,0.001,0.001,99.595,0.399,0.003,0.001,81.106,81.904,open,health,None
271099700,1043,0.9078947368421053,Female,29,27.66,6.713846,-6.5132747,-4.037959,0.362,0.362,0.362,0.004,0.004,0.004,12.564,85.675,0.004,1.743,90.435,65.571,close,health,None
271099700,1044,0.967391304347826,Female,34,99.991,5.854646,4.694917,9.052205,0.152,0.152,0.152,0.001,0.001,0.001,99.473,0.521,0.003,0.001,82.226,82.004,open,health,None
1004484912,1046,1.0173160173160174,Male,35,6.175,7.2495337,-0.3991565,6.6183686,1.293,1.293,1.293,44.215,0.27,13.57,0.27,35.53,0.377,5.769,86.137,68.263,close,stain,Normal
1004484912,1047,1.0192307692307692,Male,35,7.227,8.060627,0.8049948,7.165185,0.039,0.039,0.039,50.702,0.273,0.575,0.273,21.645,0.854,25.678,85.139,67.687,close,health,Normal
16667192,1048,1.0298507462686568,Female,47,100.0,9.345123,3.5569909,-2.2967246,0.408,0.408,0.408,0.016,21.475,0.016,77.502,0.923,0.051,0.016,90.753,30.769,close,health,None
16667192,1049,1.0446428571428572,Female,48,31.589,5.989044,-0.76711696,4.634844,0.357,0.357,0.357,0.191,0.101,0.101,90.491,7.535,1.37,0.21,90.099,52.379,close,health,None
1005187858,104,0.8881578947368421,Female,57,99.97,7.2877607,-10.310571,-8.858482,0.366,0.366,0.366,0.0,0.0,0.0,100.0,0.0,0.0,0.0,81.589,60.796,open,health,Normal
16667192,1050,1.0253164556962024,Female,55,97.74,5.633684,-1.9901185,18.449068,0.072,0.072,0.072,0.256,4.276,0.256,51.184,4.771,38.803,0.456,28.486,62.76,open,health,None
16667192,1051,1.0253164556962024,Female,55,97.74,5.633684,-1.9901185,18.449068,0.072,0.072,0.072,0.256,4.276,0.256,51.184,4.771,38.803,0.456,28.486,62.76,open,health,None
1005610626,1052,0.958974358974359,Female,40,76.921,2.78008,-1.0011021,-15.102746,0.112,0.112,0.112,0.006,0.006,0.006,78.182,21.702,0.091,0.006,56.173,70.471,close,health,None
1005610626,1053,0.9770491803278688,Female,35,100.0,10.629834,2.8211834,1.4948757,0.359,0.359,0.359,0.001,0.112,0.029,99.834,0.001,0.023,0.001,90.664,68.585,open,health,None
1005610626,1054,1.0571428571428572,Female,45,87.75,12.421938,-0.24065277,-12.690724,0.358,0.358,0.358,0.001,0.001,0.001,98.131,0.69,1.174,0.001,59.426,63.511,close,health,None
1006242416.jpg.temp,1055,1.0974889217134416,Female,49,100.0,3.6852288,-3.8694448,16.304388,0.086,0.086,0.086,0.016,0.001,0.018,99.961,0.001,0.003,0.001,46.588,70.886,open,stain,None
1006242416,1056,1.089171974522293,Female,54,99.944,3.0311537,8.849727,1.9189843,0.33,0.33,0.33,0.035,0.002,0.004,99.934,0.011,0.012,0.002,93.423,47.795,close,stain,Normal
1006242416,1057,1.0476190476190477,Female,62,99.999,5.5408945,-5.557454,4.83872,0.358,0.358,0.358,0.001,0.001,0.076,99.495,0.001,0.425,0.001,90.052,52.472,close,stain,Normal
1006242416,1058,1.0135135135135136,Female,43,100.0,3.3396807,-5.047221,-4.942788,0.368,0.368,0.368,0.0,0.0,0.0,99.999,0.0,0.001,0.0,90.744,53.552,open,stain,Normal
6746445,1059,1.0285714285714285,Female,34,99.981,5.546505,-1.6164136,5.0220127,0.356,0.356,0.356,0.0,0.0,0.0,99.999,0.0,0.0,0.0,89.829,59.088,open,health,Normal
1001461765,105,0.9502762430939227,Female,45,1.828,0.6730263,1.4813908,22.054653,0.033,0.033,0.033,0.002,0.002,0.002,2.552,97.278,0.027,0.136,8.87,64.389,open,health,None
6746445,1060,1.0298507462686568,Female,33,99.977,6.8527436,-2.4732666,5.695172,0.225,0.225,0.225,0.001,0.0,0.001,99.997,0.0,0.0,0.0,88.343,61.097,open,stain,Normal
6746445,1061,0.9711538461538461,Female,31,100.0,13.445517,-6.183702,2.5415502,0.201,0.201,0.201,0.001,0.0,0.0,99.998,0.0,0.0,0.0,87.412,42.972,open,health,Normal
271526278,1063,0.9736842105263158,Male,39,0.075,3.736542,8.525531,-4.686134,99.072,99.072,99.072,0.0,0.0,0.0,0.004,99.995,0.0,0.0,0.006,57.281,close,stain,Normal
271526278,1064,1.017391304347826,Male,41,0.012,4.251644,3.10381,2.3251517,0.035,0.035,0.035,1.407,0.077,0.077,0.094,29.446,35.426,33.474,92.916,68.515,close,stain,Normal
271526278,1065,0.9782608695652174,Male,46,7.111,-1.9391736,-2.23022,4.196162,58.701,58.701,58.701,0.003,0.003,0.003,23.064,76.724,0.196,0.007,0.006,64.032,close,health,Normal
1004262378,1067,0.8980392156862745,Female,37,99.964,9.539023,6.1229343,4.9692483,0.357,0.357,0.357,0.001,0.001,0.002,98.67,0.001,0.001,1.323,87.652,79.359,open,health,None
1004262378,1068,0.95,Female,28,99.999,9.395224,9.499864,-6.9893026,1.186,1.186,1.186,0.0,0.0,0.018,99.977,0.0,0.002,0.002,83.864,84.9,open,health,None
1004262378,1069,0.9015748031496063,Female,35,99.961,8.676551,6.8721256,4.6112447,0.359,0.359,0.359,0.003,0.004,0.013,98.431,0.003,0.003,1.543,88.714,79.06,open,health,None
1004552827,1070,1.0082644628099173,Female,26,17.716,3.741915,-3.8329308,-4.873844,0.73,0.73,0.73,0.002,0.002,0.002,1.336,98.59,0.058,0.01,90.566,87.357,close,health,None
1008608467,1076,0.970873786407767,Female,40,1.215,4.051765,-0.30093125,2.133552,0.048,0.048,0.048,0.526,0.0,0.0,0.028,99.444,0.0,0.0,93.099,55.243,close,stain,Normal
1007317862,1079,1.0985074626865672,Female,67,99.998,3.3967686,1.2213087,-7.627095,0.346,0.346,0.346,0.002,0.0,0.0,99.958,0.002,0.037,0.0,86.725,53.83,open,stain,Normal
1008089010,107,0.9421965317919075,Female,33,100.0,1.2508483,12.003119,14.637361,0.032,0.032,0.032,0.0,0.0,0.0,99.998,0.0,0.0,0.002,60.458,76.56,open,health,None
1004681134,1080,0.9484126984126984,Female,48,99.998,3.4813976,-11.697327,7.6294813,0.36,0.36,0.36,0.0,0.0,0.0,100.0,0.0,0.0,0.0,86.677,56.007,open,stain,Normal
1004681134,1081,0.9484126984126984,Female,48,99.998,3.4813976,-11.697327,7.6294813,0.36,0.36,0.36,0.0,0.0,0.0,100.0,0.0,0.0,0.0,86.677,56.007,open,stain,Normal
1001932712,1082,1.0449438202247192,Female,47,80.514,2.559761,3.287709,-8.634644,0.416,0.416,0.416,0.619,0.02,0.02,83.263,15.767,0.29,0.02,84.924,45.047,close,stain,Normal
1001932712,1083,1.0350194552529184,Female,50,99.813,5.4925437,-11.191615,5.3568754,0.212,0.212,0.212,0.012,0.004,0.004,99.962,0.015,0.001,0.001,89.481,42.753,close,acne,Normal
1004578546,1084,0.9330855018587361,Female,29,99.116,-0.2427398,-16.547855,21.05167,0.198,0.198,0.198,0.808,3.532,29.791,63.002,0.318,2.23,0.318,13.655,58.715,close,health,None
1004578546,1085,0.9646017699115044,Female,35,99.999,5.164414,8.28281,7.016846,99.968,99.968,99.968,0.161,0.811,50.679,46.415,1.352,0.478,0.105,0.006,46.751,open,dark_circle,None
1004578546,1086,1.0020746887966805,Female,31,100.0,10.27826,-8.502803,8.329787,0.094,0.094,0.094,0.001,0.002,0.002,98.664,0.001,1.275,0.057,80.426,62.027,open,health,None
1004578546,1087,0.9656488549618321,Female,28,100.0,2.7479413,4.052845,3.6162138,0.259,0.259,0.259,0.007,11.873,0.754,86.055,0.007,1.294,0.011,92.263,81.143,open,health,None
1004578045,1088,0.9267241379310345,Female,47,79.981,4.3169937,4.1807904,0.7862606,0.359,0.359,0.359,0.425,0.029,0.029,85.821,5.175,8.491,0.029,93.75,47.515,open,health,None
1004578045,1089,1.025974025974026,Female,56,99.377,-1.7268621,-4.102591,12.7213745,0.333,0.333,0.333,0.065,0.065,4.887,88.036,5.728,1.056,0.164,71.061,56.278,open,health,None
1008089010,108,0.943089430894309,Female,40,99.876,2.1154983,3.1476822,-3.8075323,0.425,0.425,0.425,0.0,0.0,0.0,99.95,0.05,0.0,0.0,92.208,50.071,close,health,None
1004578045,1090,1.0238095238095237,Female,61,99.857,7.74093,0.6636438,-1.243587,0.367,0.367,0.367,0.585,0.014,0.056,82.278,16.995,0.057,0.014,92.346,53.559,open,health,None
1000912625,1091,0.9753694581280788,Male,29,0.33,3.01852,5.5743456,-7.7845345,0.378,0.378,0.378,0.014,0.073,0.014,95.385,3.737,0.614,0.164,86.564,84.997,close,health,None
1000912625,1092,0.9753694581280788,Male,29,0.391,3.4340713,5.401823,-7.633301,0.359,0.359,0.359,0.01,0.026,0.01,96.695,2.825,0.33,0.105,86.691,84.428,close,stain,None
1004472546,1094,0.9782608695652174,Male,43,0.591,-2.7608001,3.4604063,28.553898,0.178,0.178,0.178,2.684,40.687,0.104,0.104,14.079,21.09,21.253,0.015,53.648,open,acne,None
1004472546,1095,1.0347551342812007,Male,34,99.8,12.48197,0.174122,-7.5987053,1.132,1.132,1.132,0.001,0.025,0.001,92.854,7.117,0.001,0.001,79.087,78.313,close,health,None
1004472546,1096,1.0437158469945356,Male,30,99.703,9.278319,-0.51113504,-4.0387464,0.352,0.352,0.352,0.0,0.005,0.0,99.654,0.34,0.0,0.0,89.042,78.687,close,health,None
81242233,1097,0.9325153374233128,Female,39,99.998,7.7430506,8.136592,-3.570552,0.318,0.318,0.318,0.008,0.018,0.062,99.844,0.044,0.003,0.022,90.443,65.005,open,health,Normal
